Date,Close Price,WAP,No.of Shares,No. of Trades,% Deli. Qty to Traded Qty,Change,%Change,Volatilty ,Annualized volatility,moving_average
24-May-16,464,464.1059091,2200,148,64.86,-0.010449989,-1.044998934,0.019539892,,
25-May-16,462.75,464.0999587,2421,230,49.9,-0.002693966,-0.269396552,0.019525874,,
26-May-16,470.2,467.9474451,7554,229,82.02,0.016099406,1.609940573,0.019427239,,
27-May-16,473.75,477.8793351,6978,280,81.99,0.007549979,0.754997873,0.019408134,,
30-May-16,483.35,483.539604,4444,434,40.93,0.020263852,2.026385224,0.019493218,,
31-May-16,473.45,475.5139186,3736,361,50.94,-0.020482052,-2.048205234,0.019498969,,
01-Jun-16,471.6,475.3862528,2255,204,49.67,-0.003907488,-0.390748759,0.019494565,,
02-Jun-16,475.4,475.8233556,23018,150,97.4,0.008057676,0.8057676,0.019504528,,
03-Jun-16,478,479.2707838,1684,166,70.25,0.005469079,0.546907867,0.019511976,,
06-Jun-16,479.9,480.0758673,9253,207,86.62,0.003974895,0.39748954,0.019260151,,
07-Jun-16,490.4,486.4988502,6523,395,58.03,0.021879558,2.187955824,0.019384973,,
08-Jun-16,494.15,496.8337475,35819,509,89.16,0.007646819,0.764681892,0.019245631,,
09-Jun-16,501.85,502.2292319,13410,717,63.8,0.015582313,1.558231306,0.019100752,,
10-Jun-16,500.6,502.7052293,3423,223,58.11,-0.002490784,-0.24907841,0.016297231,,
13-Jun-16,500.3,499.4048163,4817,825,60.47,-0.000599281,-0.059928086,0.016260971,,
14-Jun-16,499.7,500.6803504,3995,277,53.59,-0.00119928,-0.119928043,0.016207424,,
15-Jun-16,599.6,570.0178657,583913,26548,11.21,0.199919952,19.9919952,0.026595878,,
16-Jun-16,694,684.0060515,1024875,42558,12.01,0.157438292,15.74382922,0.031266721,,
17-Jun-16,694.25,711.3070783,686675,29789,13.15,0.000360231,0.036023055,0.031266873,,
20-Jun-16,657.25,669.354317,261410,12653,13.75,-0.053294923,-5.329492258,0.031832666,,
21-Jun-16,650.15,664.4106806,87579,6124,14.54,-0.010802587,-1.080258653,0.031838321,,
22-Jun-16,615.75,625.9338339,109603,7285,15.71,-0.052910867,-5.291086672,0.032119803,,
23-Jun-16,617.6,616.1528232,371030,19342,10.29,0.003004466,0.30044661,0.031976436,,
24-Jun-16,634.85,609.104295,288125,13505,10.87,0.027930699,2.793069948,0.031767268,,
27-Jun-16,641.95,643.2063362,124239,7389,9.1,0.011183744,1.118374419,0.031517151,,
28-Jun-16,657.5,652.7890238,119331,5746,14.36,0.02422307,2.422307033,0.031138726,,
29-Jun-16,653.95,659.2921782,67695,4199,17.74,-0.00539924,-0.539923954,0.031141899,,
30-Jun-16,658.35,659.6715865,40516,2880,22.79,0.006728343,0.672834315,0.030996034,,
01-Jul-16,654.1,656.1404037,27250,1387,26.84,-0.006455533,-0.645553277,0.03100875,,
04-Jul-16,659.85,660.8798707,37110,2199,17.69,0.008790705,0.879070479,0.031006548,,
05-Jul-16,663.4,665.5223256,31802,1994,17.72,0.005380011,0.538001061,0.030911497,,
07-Jul-16,654.55,664.0369825,29203,1583,29.31,-0.013340368,-1.33403678,0.030957634,,
