tweet,created
"17504 Cases of #BankFraud Reported Between 2013 - 2017 : #RBI Data
#statebankofindia topped the list in the number… https://t.co/aHC1WVHUOX",30-01-2018
"@shyamcdac  Dear Customer, We represent SBI Credit Cards only. For banking related queries/feedbacks, please contac… https://t.co/cgeE6FzgrB",20-12-2017
"RT @NishantB11: Infectious energy at the #SBIGreenMarathon! Thousands of runners took over the streets of Bengaluru in the #marathon!😀😀. 
.…",21-12-2017
"Not to mention the #CGTMS scheme which is a bloody scam. whichever bank you talk about #StatebankofIndia,… https://t.co/hL6Zp0g2Eu",04-01-2018
"RT @NishantB11: Infectious energy at the #SBIGreenMarathon! Thousands of runners took over the streets of Bengaluru in the #marathon!😀😀. 
.…",08-12-2017
"RT @NishantB11: Infectious energy at the #SBIGreenMarathon! Thousands of runners took over the streets of Bengaluru in the #marathon!😀😀. 
.…",26-12-2017
3/5 #Review on #StateBankOfIndia by puransingh0284 https://t.co/rFY9WAEcGb,30-01-2018
"@megelangba  Dear  Customer, We represent SBI Credit Cards only. For banking related queries/feedbacks, please cont… https://t.co/qUJfdbUFBj",06-01-2018
"Equity Portfolio : 10  Long Term Picks from the Indian Equity Markets 

https://t.co/l1wGM87rfH

#stocks… https://t.co/JZn26uc6CE",07-12-2017
A very nice collection of stocks. #stocks #statebankofindia #tatamotors #InfoEdge #HDFCBank #Cipla #AjantaPharma… https://t.co/7jUInIViJM,31-01-2018
A very nice collection of stocks article...#stocks #statebankofindia #tatamotors #InfoEdge #HDFCBank #Cipla… https://t.co/lpBzuXFoB5,05-12-2017
Infectious energy at the #SBIGreenMarathon! Thousands of runners took over the streets of Bengaluru in the… https://t.co/UgY2IY0TxT,29-01-2018
Finally it effects only farmers and poor ones...#statebankofindia https://t.co/zkMluwe2vn,25-01-2018
1/5 #Review on #StateBankOfIndia by nblaze221 https://t.co/wO0cSRnbMN,12-12-2017
#statebankofindia Great! Blocked card! For not linking the adhar! Though date is UpTo 31st March! Ridiculous govt. Ridiculous banking,25-01-2018
3/5 #Review on #StateBankOfIndia by ankitgupta15094 https://t.co/o3SQycKGdO,04-01-2018
"Join us at the SBI Green Marathon - New Delhi tomorrow!

#Troika #IEEEDTU #StateBankofIndia #GreenMarathon https://t.co/M7NZr8rZFg",28-12-2017
Don’t let home loan interest rates scare you anymore! You can now avail a deduction on payment of interest under se… https://t.co/6eiskXBYE7,07-01-2018
